i0,i1,sign,n_arcs,is_compound,C_m,L_m,S,A_bend_m,A_bend_star,apex_idx,A_up_m,A_down_m,AR,openness,baseline_m,cluster
1420,1543,-1,5,1,4199.655027125486,4662.347631273125,1.1101739550413348,387.06497147154016,9.676624286788504,1528,384.491808318906,386.4379645150301,0.9949638586918692,117.12538507673204,4199.655027125486,0
1519,1944,1,12,1,14488.59763115248,16498.49993099965,1.13872303938689,1149.4729359082485,28.73682339770621,1883,1146.8698221624738,1149.4364499703966,0.9977670554922904,115.34131598340603,14488.59763115248,2
1876,2073,-1,6,1,6746.496469905429,7456.280655517554,1.10520781990746,667.9412951407556,16.69853237851889,2049,665.9853676989363,666.8953390230935,0.9986355110451212,119.25483477315132,6746.496469905429,2
2068,2134,-1,3,0,2198.6258063662767,2448.959643950573,1.1138592282776982,296.26938722728534,7.406734680682133,2082,295.95428019623444,293.1508498727216,1.009563098059344,107.33007483346849,2198.6258063662767,0
2112,2149,1,3,0,965.8954165927393,1251.6743061542347,1.2958693919157416,222.72614519405963,5.568153629851492,2140,214.35480125667647,222.7197525012852,0.9624418079193025,115.29363590939052,965.8954165927393,3
2123,2150,-1,3,0,596.8614308345301,894.8389438362094,1.499240690732936,255.70091139032124,6.392522784758031,2141,255.09530912203508,248.2685213425077,1.0274975971283498,118.92502263913656,596.8614308345301,4
2134,2180,1,3,0,907.1644229803578,1659.9299568163824,1.8298005463694464,334.2658099786188,8.356645249465469,2169,334.24841422688286,327.28632122891935,1.02127217835387,85.56698400490458,907.1644229803578,4
2149,2184,-1,3,0,579.4491906613017,1263.4712240825604,2.180469391355284,439.7134494603101,10.992836236507753,2170,436.5439512961137,435.4202322544375,1.002580769009878,112.51900423713114,579.4491906613017,1
2162,2194,1,3,0,515.3037529532676,1095.1282153651546,2.12520908122412,228.4897077447453,5.712242693618633,2171,228.0643365347713,221.56914461262244,1.0293145145886833,116.19346680744547,515.3037529532676,4
2180,2208,-1,3,0,582.7110342878792,943.53192525078,1.6192106717248862,172.2605218515864,4.30651304628966,2201,171.5285798594165,163.78698482497504,1.0472662406156037,118.75350898640116,582.7110342878792,4
2194,2349,1,4,1,5219.003915446117,5871.3178627107445,1.1249882080628535,482.8998034200943,12.072495085502355,2318,482.5671744236402,482.6323915680529,0.9998648720111784,113.62868021838572,5219.003915446117,0
2208,2351,-1,4,1,4934.083031743754,5453.341046742433,1.1052390102999885,572.9404579951874,14.323511449879684,2317,572.5214176181231,572.6557107286707,0.9997654906638812,115.8702003715556,4934.083031743754,0
2271,2436,1,4,1,5730.222251779402,6492.445828489648,1.1330181523890377,839.0092241837995,20.975230604594987,2377,837.9586183163178,836.8820022803782,1.0012864609741947,118.6653387094853,5730.222251779402,2
2349,2497,-1,4,1,5026.203039016754,5804.530632953292,1.1548539897601904,783.2813369123065,19.582033422807665,2388,782.9663630139706,782.9268141648915,1.0000505141072749,114.50569856440548,5026.203039016754,2
2417,2602,-1,8,1,6152.186505185096,7013.523901368435,1.1400050852582897,378.7328775989943,9.468321939974858,2587,374.6010479237026,376.5793457768104,0.994746663949328,103.557404042466,6152.186505185096,0
2435,2606,1,8,1,5536.166192678116,6441.2932018461,1.163493467801791,508.4185730993064,12.71046432748266,2587,504.1380221338779,506.4175171901376,0.9954987831603702,116.411233050278,5536.166192678116,0
2583,2648,-1,3,0,1814.953915665256,2418.890545859577,1.3327559035971188,574.6540600063204,14.366351500158007,2611,569.6244912541165,573.8798331157404,0.9925849600977952,119.898625749718,1814.953915665256,0
2602,2698,1,3,0,2947.235102388931,3657.7156229762495,1.241066795116354,587.5904308922925,14.689760772307311,2635,586.2430221207584,583.7069032680249,1.0043448498527847,111.23630357510996,2947.235102388931,0
2676,2830,1,9,1,4766.571951166403,5853.268608175327,1.227982849759145,468.20680826678296,11.705170206669576,2811,463.6999619848179,467.79168453657167,0.991253109691748,119.65981812356604,4766.571951166403,0
2826,2914,1,3,0,2838.244390689737,3334.3510161874656,1.1747934840019774,395.1508926859827,9.878772317149568,2893,392.86437656152975,393.7818030253665,0.997670216204029,81.28442566334705,2838.244390689737,0
2850,2918,-1,3,0,2154.225359806471,2570.558832550709,1.1932636577918851,431.3445044849264,10.78361261212316,2895,429.9466440515888,430.1855196829228,0.9994447148488168,117.5533454341623,2154.225359806471,0
2888,2930,1,3,0,1179.759023371732,1530.9114267594448,1.2976475673685677,198.54679519641104,4.963669879910276,2921,195.54831132352825,195.8390602931535,0.998515367827082,119.19659054848157,1179.759023371732,0
